Ticker,Company
FFIE,Faraday Future Intelligent Electric Inc.
RENT,"Rent the Runway, Inc."
LASE,Laser Photonics Corporation
STBX,Starbox Group Holdings Ltd.
ZEPP,Zepp Health Corporation
OSS,"One Stop Systems, Inc."
SMXT,"SolarMax Technology, Inc."
HYMC,Hycroft Mining Holding Corporation
PRPH,"ProPhase Labs, Inc."
GODN,Golden Star Acquisition Corporation
DRRX,DURECT Corporation
MARX,Mars Acquisition Corp.
CPTN,"Cepton, Inc."
BCOW,"1895 Bancorp of Wisconsin, Inc."
CRWS,"Crown Crafts, Inc."
FLNT,"Fluent, Inc."
ANEB,"Anebulo Pharmaceuticals, Inc."
UCL,Cloudlink Group Inc.
AWRE,"Aware, Inc."
KULR,"KULR Technology Group, Inc."
PRTS,"CarParts.com, Inc."
KTCC,Key Tronic Corporation
ALSA,Alpha Star Acquisition Corporation
FKWL,Franklin Wireless Corp.
SWVL,Swvl Holdings Corp.
VSAC,Vision Sensing Acquisition Corp.
HSON,"Hudson Global, Inc."
RPHM,"Reneo Pharmaceuticals, Inc."
BATL,Battalion Oil Corporation
RAND,Rand Capital Corporation
CMBM,Cambium Networks Corporation
BDL,"Flanigan's Enterprises, Inc."
CPBI,"Central Plains Bancshares, Inc."
EHGO,Eshallgo Inc.
MKFG,Markforged Holding Corporation
NISN,"Nisun International Enterprise Development Group Co., Ltd"
FEAM,"5E Advanced Materials, Inc."
ZDGE,"Zedge, Inc."
CREX,"Creative Realities, Inc."
NINE,"Nine Energy Service, Inc."
MNY,MoneyHero Limited
RECT,Rectitude Holdings Ltd
NTZ,Natuzzi S.p.A.
SHOT,"Safety Shot, Inc."
PRT,PermRock Royalty Trust
RLYB,Rallybio Corporation
HOUR,"Hour Loop, Inc."
TRSG,Tungray Technologies Inc.
BODI,"The Beachbody Company, Inc."
BNIX,Bannix Acquisition Corp.
BWEN,"Broadwind, Inc."
ISDR,Issuer Direct Corporation
APYX,Apyx Medical Corporation
INTE,Integral Acquisition Corporation 1
NSTS,"NSTS Bancorp, Inc."
ICMB,"Investcorp Credit Management BDC, Inc."
KACL,Kairous Acquisition Corp. Limited
PPSI,"Pioneer Power Solutions, Inc."
FORL,Four Leaf Acquisition Corporation
GLST,"Global Star Acquisition, Inc."
RGS,Regis Corporation
AHT,"Ashford Hospitality Trust, Inc."
ASRV,"AmeriServ Financial, Inc."
ATRA,"Atara Biotherapeutics, Inc."
DXR,Daxor Corporation
ARKR,Ark Restaurants Corp.
AADI,"Aadi Bioscience, Inc."
IGTA,Inception Growth Acquisition Limited
PDYN,Palladyne AI Corp.
YOTA,Yotta Acquisition Corporation
AXDX,"Accelerate Diagnostics, Inc."
BLAC,Bellevue Life Sciences Acquisition Corp.
CMCT,Creative Media & Community Trust Corporation
AKTX,"Akari Therapeutics, Plc"
BSLK,"Bolt Projects Holdings, Inc."
OPHC,"OptimumBank Holdings, Inc."
SYT,"SYLA Technologies Co., Ltd."
DWSN,Dawson Geophysical Company
CFSB,"CFSB Bancorp, Inc."
CLNN,Clene Inc.
LUCD,Lucid Diagnostics Inc.
NOVV,Nova Vision Acquisition Corporation
ACAC,Acri Capital Acquisition Corporation
LVTX,LAVA Therapeutics N.V.
INLX,"Intellinetics, Inc."
IDN,"Intellicheck, Inc."
FBIO,"Fortress Biotech, Inc."
OCX,OncoCyte Corporation
PASG,"Passage Bio, Inc."
CTRM,Castor Maritime Inc.
NICK,"Nicholas Financial, Inc."
BGFV,Big 5 Sporting Goods Corporation
TCBS,"Texas Community Bancshares, Inc."
OWLT,"Owlet, Inc."
SJ,Scienjoy Holding Corporation
CCLD,"CareCloud, Inc."
ELTX,"Elicio Therapeutics, Inc."
GENK,"GEN Restaurant Group, Inc."
NAII,"Natural Alternatives International, Inc."
CARM,"Carisma Therapeutics, Inc."
DMYY,"dMY Squared Technology Group, Inc."
EYEN,"Eyenovia, Inc."
TACT,TransAct Technologies Incorporated
RVPH,"Reviva Pharmaceuticals Holdings, Inc."
USIO,"Usio, Inc."
KZR,"Kezar Life Sciences, Inc."
NEUE,"NeueHealth, Inc."
RCON,"Recon Technology, Ltd."
SYRS,"Syros Pharmaceuticals, Inc."
BNAI,"Brand Engagement Network, Inc."
PET,Wag! Group Co.
NXTC,"NextCure, Inc."
HUIZ,Huize Holding Limited
AIXI,Xiao-I Corporation
PLBY,"PLBY Group, Inc."
SWIN,Solowin Holdings
RDI,"Reading International, Inc."
FSEA,"First Seacoast Bancorp, Inc."
FGEN,"FibroGen, Inc."
INTG,The InterGroup Corporation
ALUR,Allurion Technologies Inc.
MATH,Metalpha Technology Holding Limited
KORE,"KORE Group Holdings, Inc."
CODX,"Co-Diagnostics, Inc."
DUET,DUET Acquisition Corp.
ECDA,"ECD Automotive Design, Inc."
TARA,"Protara Therapeutics, Inc."
ICAD,"iCAD, Inc."
DRCT,"Direct Digital Holdings, Inc."
ELEV,"Elevation Oncology, Inc."
RFIL,"RF Industries, Ltd."
ESLA,"Estrella Immunopharma, Inc."
PMN,"ProMIS Neurosciences, Inc."
FSI,"Flexible Solutions International, Inc."
TCS,"The Container Store Group, Inc."
LSF,"Laird Superfood, Inc."
EGIO,"Edgio, Inc."
BNGO,"Bionano Genomics, Inc."
DNMR,"Danimer Scientific, Inc."
DGHI,Digihost Technology Inc.
ECOR,"electroCore, Inc."
MMA,Alta Global Group Limited
WINV,WinVest Acquisition Corp.
LTRN,Lantern Pharma Inc.
XOS,"Xos, Inc."
IPW,iPower Inc.
GDST,Goldenstone Acquisition Limited
CVU,"CPI Aerostructures, Inc."
DECA,Denali Capital Acquisition Corp.
AP,Ampco-Pittsburgh Corporation
PBBK,"PB Bankshares, Inc."
HFBL,"Home Federal Bancorp, Inc. of Louisiana"
LINK,"Interlink Electronics, Inc."
ELBM,Electra Battery Materials Corporation
AREC,American Resources Corporation
ADRT,Ault Disruptive Technologies Corporation
MNDO,MIND C.T.I. Ltd
INUV,"Inuvo, Inc."
BGXX,Bright Green Corporation
RFL,"Rafael Holdings, Inc."
SNT,Senstar Technologies Corporation
PXLW,"Pixelworks, Inc."
NOTV,"Inotiv, Inc."
DYAI,"Dyadic International, Inc."
EBON,Ebang International Holdings Inc.
OKYO,OKYO Pharma Limited
WTMA,Welsbach Technology Metals Acquisition Corp.
IMRX,Immuneering Corporation
